summonerName,summonerId,leaguePoints,wins,losses
,zDERAcsEf2fNpbemHE7tyqhr7LPzJkeOKVsXtlQo84G3nly_z97TRsFu1Q,1733,488,223
,lCgCvlSyFE7z3UWtC5XHiiFe8p3E6AT3-wmfXbMOZhHGiSwuClP35PQOsA,1702,516,338
,TeA8iuCoU-xLdv-CdMGYV6gQfBPvJhUC2Z_qppBdlFHVltVZs7gW0kYdxQ,1677,260,118
,zXkT4MB_8XviFe9C_aQMc94DlvhxC-fv-4OGoNeQqW2j4xH1PAh4H6kPGQ,1528,232,136
,BriCcX0YTcWuQqsd6kRT7nP3fiyWbuW2GABqhrb9fMfp0f2YhuCqRUJpAA,1525,152,72
,iaf_-ghtLknc0gRgV1ie4GhNBqFzmXk-HonnwTMnbDZOEN1pirs3ZJyqJw,1514,245,139
,V7ZAFi5_hWjn8gB_7CZkQqmah0paIyKM-J9UoJQgo-J9kWpQrN3IBn-9iw,1501,290,170
,IHUCe38EuOHpgUW7_0nnepEjGGXkUXptQIUhEFMbsPBA4rAns8Y-i5Og_g,1481,411,247
,TkQNregyRW2p_kAZeC3XqzsfZBZnq2Jx8vgmCeDDK1a7UN5CdhGndzB2Jg,1438,438,297
,hABEKL5i_wG8N6fZXXDGavbPJQjra0ysHounwHoWIP0nJ3eCn7ugAXcbOg,1422,374,283
,-BHuM7LyzD0pC3wXMh9MtWVeIwZbGktQJzWJDFmozBz_WTbQPJ0Kzutuww,1401,478,348
,Jj70h-4XHGQ54nELtiKxXM5fg5dRkUImwbQcXQZYFgcXD-RzLRqSHZi_mw,1400,625,448
,TCKa_nniXFXRJBidX8qhOeNW0zUxpll5rEzlZ0rpVe7ZTvCBnSUiNgqTWQ,1392,465,307
,U7okhGoe2S7uAmWSQcVQTOjHcOtZmp0EyPn5KdIxThL_x6kX62u75g5v9w,1388,283,158
,cL7qA1H2gcVkAo-Avcpv9CR5FeZWnzZ3KsG5QVbUBtz1oGdMARL9GSPu-A,1383,442,360
,fHOaN9z6d7wNpGODb8FpGWqa0_w0ljaHKSOUg4F5iA4b1MWyIa_teX1NDg,1368,357,261
,gSnxaFL57LoVIYL1M2UsySOa97gyjPMlZ3aAtn5dyo0HFMIVk7JtN8-6ng,1364,224,138
,euMwU6NT8o3VhRcZxRfUpY2jiR3DSAov7u7uBkL61rKhhA6iznjqNfhjAg,1357,647,557
,WQQWRmS7sPk-QL6ag_WuWeo8YwQDlzSKrN7Pi2-o3dnOGf1G1V4tBuAd7g,1354,423,265
,HDm3k8dfPy0dQZot82cRqoSXHehZktoSR_PBeMDpYl_RfeTJupBjLjMDZw,1329,530,442
,vwdMM96Z65YUBG-faWeQ69zlXHIv0uJkZlfLaoWDxSHRgusjKpHWB3DKJQ,1329,439,322
,eqfWuGE7mfa3VbAF12pT0SVs3a7EXemnhDdQEwHlj08nlHO4cmIgsinLqA,1324,735,622
,OW7sN52psFulsX-Op98sz-IHPgcpC9KE2DAQB4RCpNEVDL077M405fEhTA,1266,496,420
,toXuUj2uLv37ri1yy5HkHPOckk601UCDUQJYS0XuSx2ZG5PgK2RYRh24UA,1266,453,367
,OaOPRa1RsWDU5EVV7SynJ9cDJj8HAkSVDv7QxYRBoKSc57x-R5FG1q74JQ,1262,583,448
,ZLNHzjkl6XHVMYmbo56f4Hy9sBhq7T48ARd4goZiWeypGsV7DwxCBECVKA,1262,650,575
,yegDhqAPxdXIIzoLb8LgNfuwTd7vcwDts_5xja6bO7FCntsFKS9Mtt3eMA,1252,343,231
,UDJl8txLv6oUyGk7x-N_eaWNQen71ttA2tGSmx2xmH2p-6-sdSIOEAHVGg,1251,352,292
,6XM5tztw42VM6i4HiMwo6yvFb4a3UfsgLfIdMRkgkJbbx-Xhg7EtvjqZVw,1247,605,462
,to8R2xWAjMP9LSGPdrI4Aznh3JyW0SwDh58LYtxrh6zXtiRLQKZfMziUug,1247,255,150
,RGnU-Y7T3PdGt8jeDYV06oE0SxzMbnerzdU9KHRUCpdoftLXVU698-nZrQ,1243,443,255
,D29jde1B8uBtU8I_2GzWOSqQHW6tLUvw4_SYaC6LMbEwY32_dpMXudr0JA,1233,141,89
,Z-pS53z5inlwbtEAq6DZ04sEplwYbZxS6PKjoLxglq4ipoqM-GMZUuyZuQ,1231,329,253
,paVLjOO6UbxtaQTMECdb5cMSs34bdmyb-LzXwudhYpbpT_oqNAqx6tGdWw,1230,321,253
,5H6x8qMt4T9a3ngv5bqPQgGQGq6DxWbUM8P_cjen0BvoRvmNQhDG09zjYg,1228,690,555
,wuZLKxtTncKdu24AoKKowiyZqxMdmOfb4lGdFJ2PXukyWaVFykEalESlXg,1228,456,356
,bh0OLQon5zEAaFWHzZk901pf40iXASRfYc_atVJLRcrkq0EwnoYQo3Ocew,1228,395,332
,a6k84qbKS9oq4aCde1fmxe0yMd1A1ukekb7xPqo04TS7IKLxhKT_vrOXng,1227,386,289
,5OuBvhcbBcBsKBLthpp_3XpGDuDm10izhbUGUtMOTh9Sj9aW5jisU36SYQ,1226,299,201
,AscLZqORNT1BfsUHVwya9vjIOAFhNs9XR2hilbscJJk56c7Cj5uIVUfZkQ,1225,644,421
,xBzkeHLCBUMGu1OJ4dSCbFf29wo9CtdqBfydYoCd4fRRp_BTz3OFiTCXuA,1220,203,135
,8TxbQBhA1eEDSjRjSOb3nUVIDuXah2dNUeO9J4mjuHzL7d61gcD9y7mozg,1218,172,110
,Zj9Je82azP1sfo46e4yBmGMbfLsyV86NtBFWBoxsXpkyr9qabFLOpDWAgQ,1216,344,272
,HxPxFJ_i5ijm06sN-PKDxPNhKr5_NiQ6xrdiWf_6x6jDFhg4OLrRG5WSxA,1211,607,508
,XBkP2ctzz_B2yYwyB1yCQC3moh_NdpVHdobeZMK9ZmSod9MlMXlX5c8ogg,1209,371,317
,pnUt4snNQWC9H4aXtSsR9TEqPqIPSvvxXRNe2WmaClkjs4ztqcAOM6o71w,1204,197,119
,XiCmtlQRL4lYj2scL2D2KVaJHzPhaXubNoiYm7T_jHfI7xyZ-2Pm6V71ag,1199,275,183
,nidobf0clIn7_0IJ3ggcRkLKhA9fxhIxrtuLojMb4TtKhyAzZ9R4CPlJVg,1194,425,376
,qJohwJbmwVUM0tNjxg6FTBC9c1PMlFTDh78z507KReCUWnwGfDgt4O9V0Q,1193,539,426
,F_9WIS1TIyRZOePLCgIJzF5VHoRSYx0nQ3QT8UfMFa1_kGTYD1-dSik6wg,1135,521,398
